19	11	6	15	7	8	14	8	11	3	7	6	4	10	6	8	10	10	7	4	14	12	10	13	5	9	11	8	5	11	11	6	6	12	15	7	9	11	7	4	0	4	13	12	9	7	10	15	6	15	6	17	11	9	5	19	9	8	11	11	12	10	8	16	11	19	12	15	15	7	10	24	20	13	17	8	5	65	12	12	10	11	9	12	8	9	15	13	14	10	36	9	15	6	12	6	6	8	11	13	19	6	13	12	10	16	9	10	5	11	14	14	13	8	10	17	15	5	12	15	15	8	9	6	31	10	108	4	14	10	10	12	14	9	5	16	7	16	17	13	8	7	9	13	17	10	15	15	12	8	12	16	11	11	12	11	12	11	6	12	7	13	12	16	12	6	9	7	21	13	12	17	10	5	28	11	14	9	15	13	11	18	6	11	17	4	18	7	14	14	16	16	7	13	7	4	20	14	10	12	6	8	10	4	11	14	5	9	8	16	12	15	4	11	12	11	20	14	10	17	11	13	15	14	11	11	8	13	11	14	9	11	15	16	17	6	12	14	12	17	7	7	8	11	12	14	9	10	8	13	11	11	10	13	5	11	8	22	14	7	11	13	13	8	5	11	9	16	9	12	11	12	6	18	9	17	15	3	22	9	10	13	7	17	12	8	12	12	15	11	15	8	11	10	17	12	10	6	15	18	12	9	14	10	11	11	19	10	11	14	12	15	15	9	21	12	6	11	12	9	10	12	13	14	8	12	14	9	12	14	13	16	15	12	4	11	11	16	9	15	8	13	13	5	16	14	8	13	12	15	12	6	9	12	11	10	14	13	8	18	2	16	12	13	13	8	5	9	6	7	13	15	10	13	15	9	17	9	11	8	7	12	18	13	40	10	18	12	6	7	6	7	8	4	16	50	13	12	22	10	1	9	15	6	9	6	11	11	4	10	8	16	22	12	16	0	7	9	10	14	9	8	12	15	10	15	14	3	11	20	5	12	11	6	13	12	12	17	9	10	10	2	12	5	12	12	12	8	10	6	11	13	13	13	9	10	14	10	40	17	13	5	13	15	11	10	14	9	14	7	16	11	8	12	10	9	10	5	16	7	8	17	8	13	11	8	14	9	31	8	9	11	10	11	19	11	12	4	16	7	8	13	8	11	13	10	4	4	18	13	7	17	2	14	9	15	18	18	11	11	3	10	15	9	11	7	13	4	13	8	7	8	6	14	9	10	10	3	10	9	11	15	7	34	13	8	13	6	9	18	3	7	24	11	2	7	14	6	8	7	9	10	12	14	13	9	12	16	15	5	8	13	6	11	12	6	7	7	8	7	6	13	12	7	15	0	10	7	11	7	3	14	8	4	10	11	12	5	10	10	10	9	7	0	11	4	9	11	10	7	8	10	9	12	14	5	14	11	7	4	6	6	6	6	11	8	9	5	8	8	7	4	20	2	11	5	9	8	3	9	5	7	8	7	11	5
23	7	15	14	8	11	6	8	10	7	6	11	7	9	13	14	4	15	6	28	7	7	6	9	6	10	20	7	10	11	6	11	6	7	13	16	8	8	12	9	3	9	8	12	7	8	10	7	7	17	12	7	7	10	19	3	8	9	11	10	15	12	13	6	8	16	7	4	13	14	12	14	19	9	14	15	9	9	12	9	10	14	14	6	21	8	43	13	12	19	17	10	14	5	15	10	11	12	5	14	15	9	16	14	8	12	11	16	10	19	4	6	16	14	8	15	11	51	10	13	13	13	16	8	14	4	6	16	13	9	10	1	15	4	7	10	8	10	7	10	15	14	12	11	8	9	11	10	10	7	8	9	20	13	8	10	13	12	7	12	10	10	10	4	14	12	10	15	9	9	13	31	10	15	13	16	13	16	16	16	14	11	20	6	9	6	9	9	14	16	9	13	24	9	12	17	11	16	12	17	11	17	11	6	11	10	30	7	11	16	7	17	16	11	11	6	21	12	17	18	15	11	21	5	12	11	13	10	10	7	6	9	9	12	63	11	12	12	8	8	17	10	13	14	10	13	8	7	13	4	11	9	13	12	10	10	14	11	12	7	6	12	12	13	11	7	13	10	11	11	7	12	8	6	19	10	14	10	6	15	13	12	22	14	19	9	9	12	14	9	7	8	9	18	8	12	10	7	14	10	12	4	12	17	14	5	7	10	13	10	12	11	14	9	8	4	16	8	10	12	7	21	14	7	10	12	7	11	6	16	13	14	17	7	16	8	13	14	3	16	15	7	18	8	13	6	10	13	14	17	12	9	12	7	13	10	6	13	14	10	16	2	15	13	10	11	0	15	12	13	14	10	11	7	11	10	8	14	12	13	15	6	9	15	12	16	11	18	15	6	15	6	12	9	8	15	13	8	5	11	6	9	15	19	13	17	9	12	14	15	64	9	13	11	9	16	10	6	13	9	8	15	10	13	10	11	14	13	10	15	11	9	12	11	11	9	14	10	9	17	14	13	11	5	16	15	7	12	4	13	8	21	12	8	13	12	8	9	10	10	10	11	16	12	7	8	7	10	10	10	15	14	4	6	6	12	8	8	12	19	14	17	2	6	16	8	13	6	11	11	17	53	8	11	17	16	9	16	46	5	8	11	8	12	8	11	4	8	12	10	33	14	13	2	7	10	6	13	1	13	11	3	8	4	7	15	10	8	10	8	14	15	7	6	4	5	7	10	5	6	12	5	14	9	7	3	8	8	9	6	11	7	10	8	7	8	10	6	8	10	11	9	11	17	6	4	8	8	7	2	12	8	9	9	8	8	7	7	12	5	8	6	2	13	15	5	11	10	10	8	10	6	3	10	6	5	9	11	15	14	5	8	11	7	4	8	7	3	6	3	6	6	8	7	6	8	8	9	12	10	5	12	13	13	3	5	1	10	5	5	9	4	6	9	4	12	4	8	12	1	10	5	5	13	8	6
16	10	3	10	12	6	11	5	8	5	3	13	2	7	6	6	5	2	9	8	8	4	10	11	3	4	12	11	4	12	6	9	44	15	11	12	13	5	10	11	9	10	9	13	16	8	7	20	19	11	8	13	15	19	12	5	15	14	6	14	14	13	7	17	13	6	7	16	15	7	11	14	10	12	14	18	6	7	14	8	4	14	10	14	10	12	11	11	8	6	15	11	12	10	9	16	9	12	14	10	7	18	6	16	10	16	16	6	11	14	6	18	6	8	8	6	12	7	11	14	10	14	9	16	10	11	12	15	13	15	8	11	10	11	9	7	108	10	6	17	10	12	4	14	13	6	18	10	12	6	9	16	7	10	9	6	10	5	14	12	13	6	7	16	9	10	5	8	11	10	8	10	4	13	5	9	10	9	20	15	12	8	7	20	8	9	15	12	12	8	13	12	14	8	14	6	8	10	14	13	6	14	5	19	8	6	15	15	8	16	9	12	7	14	7	12	15	11	2	8	12	7	19	8	12	6	7	11	6	14	14	16	6	11	7	15	8	7	10	4	16	9	10	5	10	10	5	7	13	19	11	17	11	8	14	7	15	10	5	10	10	14	7	8	34	12	11	11	13	16	14	12	9	10	14	12	9	10	11	12	5	13	11	11	4	18	15	18	9	20	17	12	14	15	8	6	13	6	17	15	11	6	11	57	13	12	15	38	11	17	14	12	14	25	6	14	9	12	14	4	11	13	11	13	12	3	18	8	12	12	4	12	7	9	12	11	15	6	6	10	12	14	6	82	6	15	14	13	10	13	8	11	9	8	13	8	8	10	10	16	16	9	11	6	9	15	7	12	10	11	13	10	17	9	19	7	52	59	6	11	12	7	7	10	5	8	4	7	10	2	9	8	5	8	11	14	15	17	15	6	14	10	6	12	14	7	9	8	15	8	11	8	10	12	12	4	12	13	6	2	12	6	13	5	16	19	4	6	13	2	7	5	14	11	12	16	9	22	17	17	8	11	20	16	9	10	8	17	13	13	6	13	9	10	10	11	19	10	8	17	10	6	55	10	6	15	8	11	8	5	8	11	15	8	13	12	6	8	11	3	3	2	11	14	14	10	5	9	12	3	7	6	6	4	5	3	12	6	12	6	16	12	10	5	22	10	17	7	1	12	3	11	10	5	9	10	6	5	9	12	13	5	3	6	8	9	13	8	12	9	1	12	13	3	12	4	8	5	2	6	7	5	13	7	10	7	4	12	13	4	20	6	9	16	3	5	14	2	12	7	6	9	7	12	15	9	6	3	15	12	5	11	7	7	12	8	3	9	5	10	11	10	10	6	12	9	9	9	4	10	3	15	6	12	5	5	3	10	14	12	6	4	6	7	8	9	4	6	7	13	3	4	11	7	3	4	9	9	4	9	9	3	10	4	6	9	6	14	8	7	12	8	7	9	3	13	0	10	11	1	12	6	9	12	1	4
9	8	7	11	7	16	5	4	5	7	6	9	10	8	8	14	5	10	5	6	9	10	6	8	10	8	1	10	10	15	8	2	15	10	8	11	13	5	2	4	12	10	8	9	8	10	9	6	10	8	8	7	10	10	6	6	7	11	2	6	8	12	12	12	4	8	7	14	17	12	6	13	15	9	16	15	10	8	16	6	8	9	4	9	17	8	7	16	12	10	26	12	9	13	4	12	15	9	12	8	12	6	13	12	11	12	11	11	18	12	11	8	7	15	6	22	7	10	16	5	14	17	4	9	9	18	10	9	10	5	21	26	10	9	4	10	7	16	14	5	10	11	9	10	14	10	9	16	8	14	15	14	14	7	7	8	10	14	12	10	8	16	12	11	7	14	11	11	4	9	9	6	16	9	4	6	12	9	6	3	11	12	10	7	16	10	15	14	18	8	13	16	10	22	10	11	14	8	14	7	15	4	14	17	9	8	11	7	11	1	13	7	8	23	15	9	20	9	12	7	16	7	12	10	11	7	13	11	12	8	10	11	5	12	16	9	7	9	12	18	5	13	11	12	5	7	17	8	14	12	20	7	14	9	9	8	14	10	14	12	4	13	8	79	11	10	15	9	8	29	10	8	12	5	9	12	7	10	13	4	11	13	7	16	12	12	14	13	12	12	13	16	17	12	8	9	12	12	6	10	7	8	9	6	14	8	9	11	9	7	8	8	11	5	11	9	14	11	7	12	9	6	12	26	9	12	7	7	14	8	14	12	9	10	3	7	11	6	12	12	9	8	7	13	14	7	9	9	9	11	9	9	8	13	7	14	10	16	8	13	18	34	12	8	8	8	13	13	9	16	2	9	7	12	12	18	3	15	3	9	15	6	12	10	16	10	4	20	7	3	12	13	9	9	8	15	6	6	14	15	14	8	6	11	10	15	9	10	9	12	8	15	8	13	8	13	15	1	12	4	9	14	2	11	6	18	12	11	22	9	8	14	12	9	12	2	16	5	4	15	9	18	12	7	20	9	10	15	7	8	12	9	17	11	5	14	12	14	8	2	11	5	7	9	3	16	8	8	3	6	11	5	3	11	7	0	21	9	13	7	12	16	7	15	17	8	6	13	11	7	9	17	4	12	5	10	12	1	11	5	8	8	12	4	9	12	12	11	11	12	11	4	12	8	9	16	10	8	10	12	10	4	9	8	13	4	10	8	7	8	8	14	12	5	3	15	4	14	9	9	8	5	4	8	12	15	11	8	7	3	12	16	7	9	3	8	11	12	12	8	6	4	12	6	14	29	13	7	10	10	11	8	14	12	4	11	9	13	10	3	10	7	8	9	10	11	6	8	5	11	8	9	7	14	1	8	6	13	8	5	6	10	9	5	8	3	6	18	10	5	8	8	3	14	8	6	13	37	12	2	5	0	5	10	4	9	8	10	9	5	10	3	6	3	12	10	5	8	9	10	9	10	7	5	5	6
16	7	9	16	9	10	11	7	5	11	9	7	5	2	4	4	11	10	14	9	4	9	2	10	9	10	9	10	8	8	9	6	11	13	9	4	11	15	3	9	3	7	11	5	10	16	8	10	12	14	10	7	8	9	14	7	9	7	11	9	7	17	10	14	14	16	9	13	6	16	11	5	9	13	14	12	14	10	6	18	14	5	11	13	10	9	11	10	15	1	12	13	8	10	12	7	17	13	11	11	13	8	13	10	8	13	17	7	5	11	8	5	9	8	4	16	5	5	7	11	13	5	14	4	4	40	6	10	5	7	12	8	8	10	14	4	11	8	8	3	4	12	13	6	13	13	5	12	2	9	3	7	22	10	10	11	12	10	4	7	9	10	11	4	13	2	15	6	7	13	0	13	12	5	14	7	9	11	5	14	12	8	6	6	11	5	17	7	11	10	12	7	5	10	12	11	7	9	13	9	14	8	11	11	48	9	13	9	5	9	8	10	18	8	12	12	7	7	8	9	15	4	10	4	7	16	15	10	16	7	15	8	8	18	9	5	18	16	13	10	10	10	9	5	8	6	20	14	13	15	13	9	12	127	10	14	7	9	11	12	17	13	11	15	10	9	6	11	8	18	8	7	11	4	14	10	12	11	8	9	11	12	10	13	9	9	10	13	16	7	10	15	8	9	13	29	15	11	6	11	10	5	11	10	6	10	7	18	10	8	10	8	16	11	3	10	13	10	12	12	11	13	3	10	24	7	10	7	3	14	12	7	9	12	7	11	11	8	3	10	10	14	4	3	14	4	18	7	8	14	10	4	7	16	12	3	7	13	9	5	7	7	10	11	3	7	6	22	9	13	11	14	17	4	16	12	6	15	21	11	10	7	14	4	8	7	15	17	6	16	7	5	14	3	11	16	7	14	10	14	16	16	18	14	10	10	9	14	5	16	10	11	9	7	4	11	8	9	7	16	6	12	4	9	6	7	10	13	13	10	12	8	17	10	12	20	15	10	1	10	12	9	12	9	9	10	10	14	9	3	11	12	7	13	12	7	12	10	11	18	11	6	6	11	4	7	8	5	6	7	15	8	8	6	8	11	10	4	10	16	11	7	69	9	4	4	8	13	12	13	9	7	15	10	9	8	9	9	10	10	5	10	16	11	11	12	5	5	4	5	11	1	8	12	6	12	4	7	6	8	15	4	12	7	1	9	4	14	13	0	6	15	5	13	1	11	2	10	9	7	4	14	4	9	7	5	10	5	4	9	5	15	7	14	8	9	8	5	4	17	9	4	5	8	6	5	5	6	16	10	2	6	6	5	10	7	9	10	0	10	0	6	2	3	8	4	4	5	7	11	6	5	5	9	11	6	9	11	12	9	9	6	6	1	7	6	7	5	11	6	11	1	8	6	4	4	9	6	0	5	5	5	8	7	6	5	9	10	9	9	5	5	7	4	1	8	6	7	3	6	11	3	9	6	6	6
19	5	12	5	6	13	2	8	14	7	6	5	14	1	7	8	9	9	9	11	15	12	6	6	11	12	5	17	12	5	12	13	24	7	43	8	14	10	0	12	9	8	8	7	17	10	3	5	12	16	12	8	13	7	8	6	7	9	4	4	9	10	8	4	9	10	8	6	8	9	7	10	15	10	9	19	7	12	18	15	9	15	12	4	13	10	8	12	10	10	12	9	6	9	1	15	17	12	13	10	5	10	8	12	11	12	10	8	7	9	2	5	1	9	10	10	5	11	7	6	5	15	13	2	14	4	13	17	13	15	5	15	12	5	10	10	9	6	11	14	8	12	6	7	7	4	12	5	12	10	10	12	4	19	12	5	15	9	11	5	5	6	7	5	8	15	9	9	14	17	16	11	7	5	7	17	6	15	13	6	10	14	8	7	5	18	7	8	6	9	11	9	12	6	9	8	8	5	10	13	11	8	12	6	10	2	7	10	5	12	12	6	15	7	12	6	17	19	2	13	10	8	13	2	10	11	9	13	15	12	14	10	13	8	4	8	10	5	13	9	13	6	6	13	9	7	15	9	9	12	8	9	13	13	11	6	5	13	9	6	14	8	10	4	17	14	5	13	15	2	13	10	14	12	11	5	13	2	5	6	7	4	13	6	14	13	10	12	7	40	6	7	4	11	4	9	10	7	16	11	9	11	10	11	9	2	14	9	12	10	16	26	20	10	11	12	10	14	2	13	8	2	12	5	7	11	1	15	12	5	14	13	10	17	11	15	12	12	12	18	9	6	6	6	17	7	16	5	12	13	8	7	8	11	11	11	12	4	5	11	10	8	4	4	14	4	11	11	3	9	9	6	5	5	9	3	11	6	8	34	11	12	8	9	10	10	9	1	9	12	8	11	5	4	6	8	8	12	12	7	15	9	7	5	6	10	4	7	5	18	12	2	18	10	6	7	5	9	13	13	13	14	9	9	7	10	8	4	6	10	11	12	13	6	12	10	13	7	6	9	4	8	5	11	7	11	16	13	7	12	6	5	5	14	20	8	8	10	6	9	15	7	10	7	8	7	15	12	7	5	17	4	9	98	5	10	13	1	10	7	8	12	7	15	6	4	6	3	9	11	12	11	7	6	2	5	10	2	11	11	9	12	3	10	9	7	11	4	4	11	8	8	2	15	14	6	13	3	12	6	2	6	2	7	8	10	29	3	10	7	4	12	5	11	6	9	9	6	11	10	7	12	6	8	12	8	10	5	7	12	4	5	0	2	13	10	1	12	6	7	7	7	12	6	8	3	5	12	4	4	4	3	7	4	8	7	7	10	6	7	7	7	12	5	7	6	7	16	2	7	6	1	37	7	4	7	0	11	7	4	12	1	11	10	3	9	6	3	5	9	4	0	9	4	12	2	5	5	0	10	9	2	4	6	5	6	4	11	8	1	13	8	4	6	6	6	5	5	16	5	12	3	6	13	5	12
12	4	5	7	9	11	9	7	12	10	5	9	10	4	6	14	3	7	11	11	7	0	9	18	3	8	12	8	9	4	9	2	10	7	11	11	5	7	7	10	9	7	12	6	11	5	5	13	13	10	0	18	10	6	12	9	11	9	5	12	9	10	5	9	11	14	9	8	12	13	4	10	16	0	3	15	9	13	17	9	7	13	6	14	12	8	4	8	11	8	10	9	9	12	7	11	24	13	8	12	10	14	12	14	6	4	13	11	8	3	8	14	12	16	4	8	14	11	13	5	17	7	12	5	2	11	13	8	5	12	5	6	10	10	14	6	7	6	6	7	5	8	10	7	13	5	11	7	9	10	6	9	4	12	9	6	13	5	14	11	7	10	4	13	9	8	5	4	10	10	8	10	3	3	13	4	10	8	9	3	12	9	7	6	6	4	14	18	12	8	14	1	24	10	5	13	12	10	8	10	3	11	5	4	10	6	15	8	17	8	11	16	11	9	13	5	12	9	7	2	6	13	10	8	10	6	5	7	0	6	10	5	13	10	9	8	14	5	18	7	9	7	12	9	8	9	25	10	10	9	11	8	10	14	12	4	10	14	8	6	8	10	15	6	3	14	8	9	9	4	10	11	4	11	8	6	12	13	3	16	17	13	12	10	6	20	2	8	4	9	10	10	9	7	8	14	4	5	12	3	8	14	6	8	6	8	12	11	14	5	3	8	12	5	14	12	12	7	4	11	12	8	19	8	3	9	7	8	10	11	14	9	7	9	8	11	13	9	9	10	11	8	12	10	5	3	15	9	10	1	8	10	9	13	6	17	4	11	7	1	9	12	9	13	6	5	14	13	10	7	7	10	5	11	10	5	9	7	7	3	8	1	12	12	13	4	11	5	8	10	4	9	16	7	5	2	8	13	4	11	11	8	9	31	10	8	8	13	4	24	5	13	15	11	8	12	8	8	12	4	16	6	9	12	9	11	9	8	10	8	6	6	7	11	12	9	9	13	12	9	14	6	2	12	11	11	20	7	13	13	1	10	7	4	8	3	47	8	6	15	5	6	6	8	10	8	10	9	5	3	7	0	12	9	9	6	5	11	11	10	13	8	12	9	11	12	7	9	8	3	4	5	8	8	5	8	5	8	6	1	13	6	6	5	7	5	9	4	6	8	9	10	9	10	8	12	13	6	12	7	10	12	3	4	1	8	11	6	10	7	11	7	4	5	7	6	9	4	8	14	4	9	0	5	6	7	4	8	6	5	7	8	8	7	4	3	12	5	9	7	6	13	4	14	8	2	4	10	1	2	8	8	7	11	3	1	3	1	1	7	9	6	13	5	6	4	7	7	7	8	3	3	4	6	9	7	8	5	11	17	2	11	8	10	7	4	9	12	0	7	6	8	9	7	4	2	6	4	2	7	7	1	9	16	8	5	5	0	9	6	9	10	5	0	14	7	2	8	0	10	2	4	10	3	4	5
9	9	11	10	10	13	8	7	9	3	2	11	12	11	4	8	5	9	13	10	0	14	13	12	2	2	5	6	6	11	9	8	7	4	12	14	7	2	8	12	6	6	7	32	9	2	8	13	16	9	3	11	10	6	13	6	12	9	10	6	8	19	4	9	17	27	7	12	44	9	6	8	16	5	13	93	9	10	9	9	7	15	10	11	19	5	3	15	14	16	11	5	14	3	9	9	9	4	11	2	18	8	13	8	9	6	12	13	11	1	6	13	3	14	15	8	9	10	8	4	13	11	7	15	12	13	28	6	11	9	11	15	0	9	5	5	35	6	8	3	7	9	9	19	9	8	9	7	6	14	9	9	8	8	8	3	13	13	10	11	7	8	7	12	10	6	4	2	12	10	8	11	8	9	10	8	9	6	13	9	7	7	3	11	11	5	11	9	10	11	7	12	7	5	8	15	6	19	16	5	19	9	8	6	9	11	7	11	9	8	6	12	11	15	7	8	19	8	4	15	7	5	7	9	5	10	6	10	0	5	5	9	7	12	6	7	7	9	7	11	17	5	7	7	2	8	16	11	1	13	12	9	11	26	8	9	11	8	4	23	7	13	7	8	8	17	10	7	12	5	11	10	6	9	2	15	11	16	7	11	9	15	8	8	8	8	7	12	7	9	9	2	14	12	7	12	5	7	7	10	5	6	10	13	10	15	5	8	6	11	11	18	4	11	7	2	6	9	9	73	9	10	7	16	10	9	6	7	14	15	11	3	5	11	10	7	5	14	10	4	8	9	13	12	6	12	6	6	7	9	13	6	4	9	9	14	4	15	11	5	18	6	13	10	10	9	8	10	11	13	2	8	3	13	2	17	5	10	11	9	12	10	5	6	10	16	9	11	8	3	7	12	2	11	6	8	9	2	18	5	7	10	6	5	7	9	6	10	8	31	5	10	15	6	18	8	14	10	6	14	10	6	13	6	8	10	6	9	11	6	11	5	13	3	11	9	10	6	3	9	9	11	20	10	6	7	8	4	13	5	6	7	18	3	3	6	10	7	10	7	11	15	7	14	10	35	4	5	14	9	6	9	7	10	9	9	8	6	3	8	6	7	3	9	10	5	10	8	2	9	5	14	4	14	15	6	12	5	5	12	5	5	6	11	13	5	8	6	4	10	28	5	12	5	5	3	0	1	9	6	6	2	5	0	14	10	2	5	2	6	12	9	8	12	10	12	5	8	12	6	10	12	15	8	8	9	3	12	1	10	3	8	14	3	5	6	2	10	4	8	7	4	8	4	11	1	8	14	5	11	10	4	10	7	9	9	2	11	8	5	12	1	7	8	11	7	3	7	6	11	7	10	9	6	7	9	2	6	12	0	6	6	6	9	1	8	4	9	8	7	3	2	8	9	0	4	8	9	10	3	4	6	7	9	2	5	9	8	13	4	10	4	11	7	7	7	3	7	13	10	8	7	6	5	9	9
9	7	12	15	6	11	5	7	13	12	8	9	8	10	2	8	8	1	5	8	7	7	4	11	16	8	7	8	4	11	6	12	3	16	7	9	11	8	15	4	7	11	10	2	8	12	5	5	7	11	9	3	5	11	10	5	7	6	19	10	7	4	13	10	7	10	14	11	5	5	8	6	3	16	13	4	9	7	4	10	14	4	12	14	7	14	7	13	13	11	5	12	8	8	14	9	11	9	9	12	10	15	11	6	13	8	6	15	10	13	4	10	13	10	12	8	6	9	2	9	10	4	9	6	18	7	10	11	5	11	3	12	13	4	16	6	14	6	5	16	9	11	8	9	12	9	15	12	4	15	9	8	11	11	15	9	15	4	5	5	5	12	8	8	8	7	12	15	8	7	4	16	4	7	9	7	9	9	8	11	9	11	10	9	11	10	16	7	7	3	3	13	11	5	12	5	8	7	11	15	7	15	6	3	15	8	15	6	3	10	3	7	10	4	17	6	12	3	11	11	11	9	9	13	15	10	1	9	5	6	20	10	3	16	5	6	11	16	14	7	10	16	4	5	7	4	12	10	5	9	12	3	5	13	6	12	10	13	17	6	12	6	9	10	2	8	8	11	9	10	7	11	9	7	8	1	7	8	7	10	7	7	13	7	8	9	10	5	7	11	19	8	9	9	9	2	5	7	6	6	7	8	3	3	15	4	10	21	9	9	4	11	11	10	9	2	9	7	6	9	7	15	8	7	6	3	7	9	22	5	11	7	17	7	6	10	5	8	4	13	6	7	12	4	14	8	7	12	6	14	8	13	10	12	8	19	3	12	8	5	12	13	11	4	1	6	4	7	17	0	13	32	5	12	7	2	10	8	6	11	13	15	6	5	6	14	6	11	8	5	10	12	2	3	15	10	18	4	7	6	5	9	9	10	7	9	3	13	7	9	12	8	3	70	10	6	7	3	9	7	10	5	7	6	10	6	7	9	7	6	7	9	12	12	14	7	3	8	7	10	11	9	10	8	11	9	3	6	4	8	7	7	14	0	11	20	8	12	9	10	12	8	5	6	5	9	14	11	9	7	14	10	6	5	0	6	5	5	7	10	9	4	5	9	6	7	5	2	8	10	8	9	1	6	11	3	2	12	13	6	4	7	7	8	11	6	11	2	6	11	7	3	10	7	10	6	28	3	4	10	4	6	5	7	14	7	7	4	11	10	3	8	2	8	11	6	13	7	2	9	9	4	6	4	7	3	5	9	11	4	4	9	7	6	12	5	8	9	8	4	9	4	13	2	6	8	4	0	7	5	8	5	14	2	4	7	5	5	2	7	7	10	10	2	4	9	0	7	3	5	0	2	7	3	5	11	3	12	4	6	10	3	7	5	13	8	5	13	5	0	30	9	4	7	7	14	11	1	10	0	11	4	6	4	3	8	8	10	21	9	9	6	5	6	8	7	0	2	8	1	5	2	9	1	2	8
17	7	6	13	7	10	5	9	11	6	2	5	10	3	8	8	11	4	3	9	15	8	2	7	13	9	8	6	12	7	12	5	9	13	8	14	14	12	4	5	5	5	6	3	2	5	19	2	5	10	10	0	1	6	6	8	11	9	14	5	7	10	8	8	4	10	3	9	16	43	10	12	8	8	10	10	12	0	13	7	9	9	16	13	7	8	6	12	10	2	12	12	3	16	9	5	16	8	49	14	5	17	3	9	15	10	10	11	9	6	12	15	9	8	15	11	7	12	3	13	7	8	3	6	6	11	5	7	17	10	13	5	11	3	11	0	14	7	9	6	9	8	10	7	15	11	9	3	12	20	12	11	11	8	10	9	10	11	12	6	5	9	5	8	9	4	31	10	16	4	8	14	11	11	3	6	4	6	5	9	3	8	6	8	10	10	14	4	8	13	8	9	7	15	0	7	13	16	16	5	5	9	1	6	0	6	15	9	11	9	6	12	11	5	6	9	10	7	7	11	9	10	5	6	14	6	6	9	5	9	9	2	10	3	3	14	6	8	13	2	7	10	4	11	9	4	7	13	6	11	9	8	8	1	12	11	13	8	4	8	8	5	12	9	9	14	17	8	9	8	3	6	11	4	7	8	7	7	6	12	5	11	15	11	18	2	10	15	15	10	7	6	12	9	3	12	7	15	15	12	13	9	2	13	8	9	5	7	12	7	4	4	8	1	18	7	8	2	10	8	2	41	11	10	2	2	16	5	10	11	6	11	7	7	9	3	11	5	12	8	10	12	7	7	5	7	6	6	5	8	5	1	14	6	7	4	10	5	0	9	5	8	4	10	11	9	15	15	6	5	9	8	9	5	12	6	4	10	9	5	10	9	15	8	6	1	4	8	14	14	9	9	6	3	9	13	3	9	12	1	15	6	6	10	15	8	10	11	8	13	9	5	13	9	11	8	10	6	4	13	2	0	9	14	3	6	6	11	8	7	15	8	5	8	4	10	59	8	14	7	10	6	11	11	5	0	12	6	13	7	4	11	6	7	11	3	3	9	0	10	6	11	5	3	9	7	7	8	4	6	9	6	7	4	7	10	11	5	7	6	7	6	3	4	12	7	10	4	10	9	6	7	14	7	10	9	4	11	9	7	11	9	4	7	7	5	7	5	4	7	5	3	11	7	4	5	4	9	11	8	8	11	6	18	4	12	4	5	7	5	9	4	7	2	2	6	10	4	10	1	15	3	3	8	1	4	6	7	15	1	7	15	11	11	5	9	7	8	8	7	5	6	4	10	7	13	2	4	7	11	10	46	12	14	13	10	8	7	8	4	2	7	3	13	7	6	11	9	8	8	7	3	5	3	3	5	8	4	10	2	2	9	12	6	9	4	12	1	9	6	1	4	1	5	3	15	11	2	5	8	4	7	2	2	3	0	4	10	4	10	9	4	8	7	7	7	4	7	3	5	1	7	8	0	13	1
